"","study","survey","varNam"
"1","S1","pre","StartDate"
"2","S1","pre","EndDate"
"3","S1","pre","IPAddress"
"4","S1","pre","Progress"
"5","S1","pre","Duration__in_seconds_"
"6","S1","pre","Finished"
"7","S1","pre","RecordedDate"
"8","S1","pre","ResponseId"
"9","S1","pre","LocationLatitude"
"10","S1","pre","LocationLongitude"
"11","S1","pre","DistributionChannel"
"12","S1","pre","UserLanguage"
"13","S1","pre","Meta_Browser"
"14","S1","pre","Meta_Version"
"15","S1","pre","Meta_Operating_System"
"16","S1","pre","Meta_Resolution"
"17","S1","pre","name_1.0"
"18","S1","pre","PPP_1"
"19","S1","pre","e_mail_1"
"20","S1","pre","t_contact_First_Click"
"21","S1","pre","t_contact_Last_Click"
"22","S1","pre","t_contact_Page_Submit"
"23","S1","pre","t_contact_Click_Count"
"24","S1","pre","age"
"25","S1","pre","Gender"
"26","S1","pre","Gender_6_TEXT"
"27","S1","pre","Living"
"28","S1","pre","roommate_1"
"29","S1","pre","roommate_2"
"30","S1","pre","roommate_3"
"31","S1","pre","nationality"
"32","S1","pre","QsecondNat"
"33","S1","pre","SecondNationality"
"34","S1","pre","timeNL_1"
"35","S1","pre","Reason_1"
"36","S1","pre","Reason_2"
"37","S1","pre","Reason_3"
"38","S1","pre","Reason_4"
"39","S1","pre","Reason_5"
"40","S1","pre","Reason_6"
"41","S1","pre","Reason_7"
"42","S1","pre","Reason_8"
"43","S1","pre","Reason_8_TEXT"
"44","S1","pre","DutchLang"
"45","S1","pre","occupation_1"
"46","S1","pre","occupation_2"
"47","S1","pre","occupation_3"
"48","S1","pre","occupation_4"
"49","S1","pre","occupation_5"
"50","S1","pre","occupation_6"
"51","S1","pre","occupation_7"
"52","S1","pre","occupation_8"
"53","S1","pre","occupation_8_TEXT"
"54","S1","pre","CurrentEducation_1"
"55","S1","pre","CurrentEducation_2"
"56","S1","pre","CurrentEducation_7"
"57","S1","pre","CurrentEducation_6"
"58","S1","pre","CurrentEducation_6_TEXT"
"59","S1","pre","education_level_1"
"60","S1","pre","education_level_2"
"61","S1","pre","education_level_3"
"62","S1","pre","education_level_4"
"63","S1","pre","education_level_7"
"64","S1","pre","education_level_8"
"65","S1","pre","education_level_8_TEXT"
"66","S1","pre","education_level"
